epoch,accuracy,learning_rate,loss,top5_acc,val_accuracy,val_loss,val_top5_acc
0,0.8573960065841675,9.999999747378752e-06,0.5565153360366821,0.9855026006698608,0.9399023056030273,0.2867720425128937,0.9965895414352417
1,0.9114276766777039,9.999999747378752e-06,0.3784183859825134,0.9947533011436462,0.9476449489593506,0.25407513976097107,0.9980643391609192
2,0.9271216988563538,9.999999747378752e-06,0.32659903168678284,0.9964331984519958,0.9569545388221741,0.23047757148742676,0.99861741065979
3,0.938788652420044,9.999999747378752e-06,0.2900877296924591,0.9975837469100952,0.9609180688858032,0.21529418230056763,0.9988017082214355
4,0.9456461668014526,9.999999747378752e-06,0.2682594358921051,0.9983891844749451,0.9643285274505615,0.2062065154314041,0.9988939166069031
5,0.9529869556427002,9.999999747378752e-06,0.24626119434833527,0.9983661770820618,0.9661719799041748,0.196968674659729,0.9991704225540161
6,0.9577043652534485,9.999999747378752e-06,0.23146547377109528,0.9990105032920837,0.9699511528015137,0.18887752294540405,0.9992626309394836
7,0.9623296856880188,9.999999747378752e-06,0.21623985469341278,0.999033510684967,0.9732694029808044,0.17729219794273376,0.9991704225540161
8,0.964377760887146,9.999999747378752e-06,0.2075914591550827,0.9994937181472778,0.9719789624214172,0.18329456448554993,0.9991704225540161
9,0.965275228023529,9.999999747378752e-06,0.20273661613464355,0.999355673789978,0.9755737781524658,0.17125393450260162,0.9992626309394836
10,0.9702457785606384,9.999999747378752e-06,0.19214817881584167,0.9995397925376892,0.976311206817627,0.16847367584705353,0.9993547797203064
11,0.9720176458358765,9.999999747378752e-06,0.18583890795707703,0.9995167255401611,0.9781546592712402,0.16382569074630737,0.9994469285011292
12,0.9744569063186646,9.999999747378752e-06,0.17851579189300537,0.9995627999305725,0.9805511832237244,0.1599709838628769,0.9995391368865967
13,0.9764819741249084,9.999999747378752e-06,0.17419198155403137,0.999677836894989,0.9787998795509338,0.16468751430511475,0.9993547797203064
14,0.9785529971122742,9.999999747378752e-06,0.1657954752445221,0.9997008442878723,0.979537308216095,0.1659425050020218,0.9994469285011292
